Dealer_ID,Product_ID,Date,Quantity,Consumption,Location,Year,Month,Day,DayOfWeek,IsWeekend,Season,Lag_Quantity,Lag_Consumption,RollingAvg_Quantity_7,RollingAvg_Consumption_7,RollingAvg_Quantity_30,RollingAvg_Consumption_30,Consumption_Rate
D000,P000,2022-01-01,62.0,8.0,Chicago,2022.0,1.0,1.0,5.0,1,Winter,0.0,0.0,62.0,8.0,62.0,8.0,0.12903225806451613
D000,P000,2022-01-02,70.0,9.0,Chicago,2022.0,1.0,2.0,6.0,1,Winter,62.0,8.0,66.0,8.5,66.0,8.5,0.12857142857142856
D000,P000,2022-01-03,12.0,17.0,Los Angeles,2022.0,1.0,3.0,0.0,0,Winter,70.0,9.0,48.0,11.333333333333334,48.0,11.333333333333334,1.4166666666666667
D000,P000,2022-01-04,74.0,13.0,Los Angeles,2022.0,1.0,4.0,1.0,0,Winter,12.0,17.0,54.5,11.75,54.5,11.75,0.17567567567567569
D000,P000,2022-01-05,57.0,10.0,Los Angeles,2022.0,1.0,5.0,2.0,0,Winter,74.0,13.0,55.0,11.4,55.0,11.4,0.17543859649122806
D000,P000,2022-01-06,29.0,12.0,Los Angeles,2022.0,1.0,6.0,3.0,0,Winter,57.0,10.0,50.666666666666664,11.5,50.666666666666664,11.5,0.41379310344827586
D000,P000,2022-01-07,21.0,14.0,New York,2022.0,1.0,7.0,4.0,0,Winter,29.0,12.0,46.42857142857143,11.857142857142858,46.42857142857143,11.857142857142858,0.6666666666666666
D000,P000,2022-01-08,54.0,15.0,New York,2022.0,1.0,8.0,5.0,1,Winter,21.0,14.0,45.285714285714285,12.857142857142858,47.375,12.25,0.2777777777777778
D000,P000,2022-01-09,48.0,10.0,New York,2022.0,1.0,9.0,6.0,1,Winter,54.0,15.0,42.142857142857146,13.0,47.44444444444444,12.0,0.20833333333333334
D000,P000,2022-01-10,33.0,19.0,New York,2022.0,1.0,10.0,0.0,0,Winter,48.0,10.0,45.142857142857146,13.285714285714286,46.0,12.7,0.5757575757575758
D000,P000,2022-01-11,79.0,11.0,New York,2022.0,1.0,11.0,1.0,0,Winter,33.0,19.0,45.857142857142854,13.0,49.0,12.545454545454545,0.13924050632911392
D000,P000,2022-01-12,82.0,14.0,Los Angeles,2022.0,1.0,12.0,2.0,0,Winter,79.0,11.0,49.42857142857143,13.571428571428571,51.75,12.666666666666666,0.17073170731707318
D000,P000,2022-01-13,61.0,6.0,New York,2022.0,1.0,13.0,3.0,0,Winter,82.0,14.0,54.0,12.714285714285714,52.46153846153846,12.153846153846153,0.09836065573770492
D000,P000,2022-01-14,30.0,5.0,Los Angeles,2022.0,1.0,14.0,4.0,0,Winter,61.0,6.0,55.285714285714285,11.428571428571429,50.857142857142854,11.642857142857142,0.16666666666666666
D000,P000,2022-01-15,83.0,8.0,Chicago,2022.0,1.0,15.0,5.0,1,Winter,30.0,5.0,59.42857142857143,10.428571428571429,53.0,11.4,0.0963855421686747
D000,P000,2022-01-16,66.0,16.0,Los Angeles,2022.0,1.0,16.0,6.0,1,Winter,83.0,8.0,62.0,11.285714285714286,53.8125,11.6875,0.24242424242424243
D000,P000,2022-01-17,61.0,10.0,Los Angeles,2022.0,1.0,17.0,0.0,0,Winter,66.0,16.0,66.0,10.0,54.23529411764706,11.588235294117647,0.16393442622950818
D000,P000,2022-01-18,72.0,17.0,Los Angeles,2022.0,1.0,18.0,1.0,0,Winter,61.0,10.0,65.0,10.857142857142858,55.22222222222222,11.88888888888889,0.2361111111111111
D000,P000,2022-01-19,18.0,5.0,Los Angeles,2022.0,1.0,19.0,2.0,0,Winter,72.0,17.0,55.857142857142854,9.571428571428571,53.26315789473684,11.526315789473685,0.2777777777777778
D000,P000,2022-01-20,42.0,17.0,New York,2022.0,1.0,20.0,3.0,0,Winter,18.0,5.0,53.142857142857146,11.142857142857142,52.7,11.8,0.40476190476190477
D000,P000,2022-01-21,64.0,13.0,Chicago,2022.0,1.0,21.0,4.0,0,Winter,42.0,17.0,58.0,12.285714285714286,53.23809523809524,11.857142857142858,0.203125
D000,P000,2022-01-22,29.0,12.0,Los Angeles,2022.0,1.0,22.0,5.0,1,Winter,64.0,13.0,50.285714285714285,12.857142857142858,52.13636363636363,11.863636363636363,0.41379310344827586
D000,P000,2022-01-23,29.0,17.0,Chicago,2022.0,1.0,23.0,6.0,1,Winter,29.0,12.0,45.0,13.0,51.130434782608695,12.08695652173913,0.5862068965517241
D000,P000,2022-01-24,94.0,12.0,Chicago,2022.0,1.0,24.0,0.0,0,Winter,29.0,17.0,49.714285714285715,13.285714285714286,52.916666666666664,12.083333333333334,0.1276595744680851
D000,P000,2022-01-25,66.0,7.0,Chicago,2022.0,1.0,25.0,1.0,0,Winter,94.0,12.0,48.857142857142854,11.857142857142858,53.44,11.88,0.10606060606060606
D000,P000,2022-01-26,86.0,15.0,Los Angeles,2022.0,1.0,26.0,2.0,0,Winter,66.0,7.0,58.57142857142857,13.285714285714286,54.69230769230769,12.0,0.1744186046511628
D000,P000,2022-01-27,86.0,5.0,Chicago,2022.0,1.0,27.0,3.0,0,Winter,86.0,15.0,64.85714285714286,11.571428571428571,55.851851851851855,11.74074074074074,0.05813953488372093
D000,P000,2022-01-28,45.0,9.0,Chicago,2022.0,1.0,28.0,4.0,0,Winter,86.0,5.0,62.142857142857146,11.0,55.464285714285715,11.642857142857142,0.2
D000,P000,2022-01-29,69.0,12.0,Chicago,2022.0,1.0,29.0,5.0,1,Winter,45.0,9.0,67.85714285714286,11.0,55.93103448275862,11.655172413793103,0.17391304347826086
D000,P000,2022-01-30,74.0,12.0,Los Angeles,2022.0,1.0,30.0,6.0,1,Winter,69.0,12.0,74.28571428571429,10.285714285714286,56.53333333333333,11.666666666666666,0.16216216216216217
D000,P000,2022-02-01,71.0,8.0,Los Angeles,2022.0,2.0,1.0,1.0,0,Winter,74.0,12.0,71.0,9.714285714285714,56.833333333333336,11.666666666666666,0.11267605633802817
D000,P000,2022-02-02,14.0,9.0,Chicago,2022.0,2.0,2.0,2.0,0,Winter,71.0,8.0,63.57142857142857,10.0,54.96666666666667,11.666666666666666,0.6428571428571429
D000,P000,2022-02-03,94.0,7.0,New York,2022.0,2.0,3.0,3.0,0,Winter,14.0,9.0,64.71428571428571,8.857142857142858,57.7,11.333333333333334,0.07446808510638298
D000,P000,2022-02-04,42.0,9.0,Chicago,2022.0,2.0,4.0,4.0,0,Winter,94.0,7.0,58.42857142857143,9.428571428571429,56.63333333333333,11.2,0.21428571428571427
D000,P000,2022-02-05,20.0,11.0,Los Angeles,2022.0,2.0,5.0,5.0,1,Winter,42.0,9.0,54.857142857142854,9.714285714285714,55.4,11.233333333333333,0.55
D000,P000,2022-02-06,30.0,5.0,Los Angeles,2022.0,2.0,6.0,6.0,1,Winter,20.0,11.0,49.285714285714285,8.714285714285714,55.43333333333333,11.0,0.16666666666666666
D000,P000,2022-02-07,28.0,16.0,Chicago,2022.0,2.0,7.0,0.0,0,Winter,30.0,5.0,42.714285714285715,9.285714285714286,55.666666666666664,11.066666666666666,0.5714285714285714
D000,P000,2022-02-08,91.0,19.0,Chicago,2022.0,2.0,8.0,1.0,0,Winter,28.0,16.0,45.57142857142857,10.857142857142858,56.9,11.2,0.2087912087912088
D000,P000,2022-02-09,25.0,6.0,Chicago,2022.0,2.0,9.0,2.0,0,Winter,91.0,19.0,47.142857142857146,10.428571428571429,56.13333333333333,11.066666666666666,0.24
D000,P000,2022-02-10,90.0,15.0,New York,2022.0,2.0,10.0,3.0,0,Winter,25.0,6.0,46.57142857142857,11.571428571428571,58.03333333333333,10.933333333333334,0.16666666666666666
D000,P000,2022-02-11,98.0,9.0,New York,2022.0,2.0,11.0,4.0,0,Winter,90.0,15.0,54.57142857142857,11.571428571428571,58.666666666666664,10.866666666666667,0.09183673469387756
