Dealer_ID,Product_ID,Date,Quantity,Consumption,Location,Year,Month,Day,DayOfWeek,IsWeekend,Season,Lag_Quantity,Lag_Consumption,RollingAvg_Quantity_7,RollingAvg_Consumption_7,RollingAvg_Quantity_30,RollingAvg_Consumption_30,Consumption_Rate,OnTimeRate,DefectRate,LeadTime
D000,P000,01-01-2022,62.0,8.0,Chicago,2022.0,1.0,1.0,5.0,1,Winter,0,0,62.0,8.0,62.0,8.0,0.129032258,0.812362036,0.001216835,12
D000,P000,02-01-2022,70.0,9.0,Chicago,2022.0,1.0,2.0,6.0,1,Winter,62,8,66.0,8.5,66.0,8.5,0.128571429,0.985214292,0.063023881,3
D000,P000,03-01-2022,12.0,17.0,Los Angeles,2022.0,1.0,3.0,0.0,0,Winter,70,9,48.0,11.33333333,48.0,11.33333333,1.416666667,0.919598183,0.035902262,13
D000,P000,04-01-2022,74.0,13.0,Los Angeles,2022.0,1.0,4.0,1.0,0,Winter,12,17,54.5,11.75,54.5,11.75,0.175675676,0.879597545,0.010518828,4
D000,P000,05-01-2022,57.0,10.0,Los Angeles,2022.0,1.0,5.0,2.0,0,Winter,74,13,55.0,11.4,55.0,11.4,0.175438596,0.746805592,0.032283778,12
D000,P000,06-01-2022,29.0,12.0,Los Angeles,2022.0,1.0,6.0,3.0,0,Winter,57,10,50.66666667,11.5,50.66666667,11.5,0.413793103,0.746798356,0.016894409,4
D000,P000,07-01-2022,21.0,14.0,New York,2022.0,1.0,7.0,4.0,0,Winter,29,12,46.42857143,11.85714286,46.42857143,11.85714286,0.666666667,0.717425084,0.094169483,1
D000,P000,08-01-2022,54.0,15.0,New York,2022.0,1.0,8.0,5.0,1,Winter,21,14,45.28571429,12.85714286,47.375,12.25,0.277777778,0.959852844,0.032000489,14
D000,P000,09-01-2022,48.0,10.0,New York,2022.0,1.0,9.0,6.0,1,Winter,54,15,42.14285714,13.0,47.44444444,12.0,0.208333333,0.880334504,0.033395352,13
D000,P000,10-01-2022,33.0,19.0,New York,2022.0,1.0,10.0,0.0,0,Winter,48,10,45.14285714,13.28571429,46.0,12.7,0.575757576,0.912421773,0.0839858,10
D000,P000,11-01-2022,79.0,11.0,New York,2022.0,1.0,11.0,1.0,0,Winter,33,19,45.85714286,13.0,49.0,12.54545455,0.139240506,0.706175348,0.064775576,1
D000,P000,12-01-2022,82.0,14.0,Los Angeles,2022.0,1.0,12.0,2.0,0,Winter,79,11,49.42857143,13.57142857,51.75,12.66666667,0.170731707,0.990972956,0.071017161,1
D000,P000,13-01-2022,61.0,6.0,New York,2022.0,1.0,13.0,3.0,0,Winter,82,14,54.0,12.71428571,52.46153846,12.15384615,0.098360656,0.949732792,0.06360018,4
D000,P000,14-01-2022,30.0,5.0,Los Angeles,2022.0,1.0,14.0,4.0,0,Winter,61,6,55.28571429,11.42857143,50.85714286,11.64285714,0.166666667,0.763701733,0.094619628,1
D000,P000,15-01-2022,83.0,8.0,Chicago,2022.0,1.0,15.0,5.0,1,Winter,30,5,59.42857143,10.42857143,53.0,11.4,0.096385542,0.75454749,0.020700083,14
D000,P000,16-01-2022,66.0,16.0,Los Angeles,2022.0,1.0,16.0,6.0,1,Winter,83,8,62.0,11.28571429,53.8125,11.6875,0.242424242,0.755021353,0.098903924,6
D000,P000,17-01-2022,61.0,10.0,Los Angeles,2022.0,1.0,17.0,0.0,0,Winter,66,16,66.0,10.0,54.23529412,11.58823529,0.163934426,0.791272673,0.083095618,14
D000,P000,18-01-2022,72.0,17.0,Los Angeles,2022.0,1.0,18.0,1.0,0,Winter,61,10,65.0,10.85714286,55.22222222,11.88888889,0.236111111,0.857426929,0.058897259,2
D000,P000,19-01-2022,18.0,5.0,Los Angeles,2022.0,1.0,19.0,2.0,0,Winter,72,17,55.85714286,9.571428571,53.26315789,11.52631579,0.277777778,0.829583506,0.066237162,1
D000,P000,20-01-2022,42.0,17.0,New York,2022.0,1.0,20.0,3.0,0,Winter,18,5,53.14285714,11.14285714,52.7,11.8,0.404761905,0.787368742,0.064882588,7
